Tag	Treat_1	Treat_2	Treat_3	Model_1	Model_2	Model_3
ANKRD1	616.3954593	531.4412544	611.0924994	1416.920491	1409.486519	1336.966593
PCSK9	1712.537305	1842.933592	1583.480038	867.7338296	761.4010391	793.492086
JAG1	2941.395876	2527.365511	2301.781748	5298.091629	4914.316889	4798.599951
CCN1	331.3002708	331.1442665	322.6997233	744.8521326	772.3349966	635.1797963
DUSP1	498.4250365	435.8220893	492.0902758	1022.753817	908.512467	877.474825
STK17A	799.2496147	712.6144093	806.2132623	1353.589155	1492.982194	1343.723824
SERPINE1	3721.96684	3183.614939	2895.720773	6642.228345	5854.637233	5562.167153
DHCR7	3927.431993	3817.720981	4175.798746	2541.76064	2529.720162	2359.239244
ERRFI1	9802.359051	8149.772418	7721.207334	16282.7701	14462.64376	14476.88663
JUN	2480.32814	2113.686807	2369.32355	3957.735887	3816.945157	3701.997749
CAVIN2	1119.73593	1134.345253	820.1504597	2163.663111	1978.052308	1911.331302
TXNIP	7484.240242	6253.493397	7171.224085	12330.70567	11954.79151	10683.1836
VWA1	4962.622454	4940.994541	4980.939916	3203.431317	3327.899058	3319.731489
SLC38A2	12917.7613	10870.38929	9156.738661	21675.38611	19313.34489	19372.98379
SAT1	2240.454947	2374.374847	2484.037405	3823.511265	3779.173304	3555.269286
MVK	838.573089	886.7419415	946.657328	504.7602016	502.9620441	442.1160285
CENPB	1271.131306	1548.023957	1455.901077	756.1950585	830.9807685	821.4863324
IGFBP3	360.7928765	252.6358993	274.4555787	722.1662809	639.1395145	602.3589558
PCYT2	2307.304853	2585.743527	2551.579208	1378.165494	1630.153661	1475.972505
MVD	2308.28794	2468.987494	2436.865353	1519.006824	1596.357792	1488.52165
SLC2A3	5231.988253	4092.500266	4755.800574	9046.928631	7958.927049	7406.891455
ITGA2	1556.226495	1438.313546	1139.633907	2616.434902	2359.746823	2483.765374
TCIM	404.0486982	416.6982563	349.502026	721.2210371	737.5451318	708.5440281
TM7SF2	1371.406165	1393.020258	1351.908143	811.0192003	876.7045907	849.4805787
RAB3B	639.9895439	575.7280256	600.3715783	1016.13711	997.9721191	1085.983694
ACAT2	744.1967507	938.0743354	835.1597491	474.5123992	450.280249	446.9426227
AKAP12	1474.630285	1536.952264	1208.247801	2481.265036	2295.137075	2325.453084
KLF6	1683.044699	1399.059363	1443.035972	2784.688303	2442.248503	2369.857751
FILIP1L	507.2728182	501.2457286	411.683368	981.1630884	778.2989734	934.4286366
FASN	34061.99342	32520.5813	26995.27918	20118.56953	19712.93134	19440.55611
BHLHE40	2020.243491	1387.98767	1437.675512	3576.802627	3006.838307	2817.765692
KLF5	480.729473	372.4114851	341.9973812	857.3361476	720.6471976	763.567202
KLF10	1415.645074	1263.179497	1171.79667	1993.519223	2083.415898	2038.753389
PDLIM5	2229.640992	1886.213846	1722.852011	3210.993267	3236.451414	3065.852634
